order_id,transaction_id,anomaly_type,detail,is_intentional_scenario
ORD10004,TXN10004B,POSSIBLE_DUPLICATE,Same order/customer/amount as another transaction within 1 day,True
ORD10006,TXN10006,DATE_MISMATCH,Injected DATE_MISMATCH scenario,True
ORD10008,TXN10008B,POSSIBLE_DUPLICATE,Same order/customer/amount as another transaction within 1 day,True
ORD10009,TXN10009,UNEXPECTED_FEE,Injected UNEXPECTED_FEE scenario,True
ORD10010,TXN10010,AMOUNT_MISMATCH,Injected AMOUNT_MISMATCH scenario,True
ORD10011,TXN10011,AMOUNT_MISMATCH,Injected AMOUNT_MISMATCH scenario,True
ORD10012,TXN10012,DATE_MISMATCH,Injected DATE_MISMATCH scenario,True
ORD10013,TXN10013,DATE_MISMATCH,Injected DATE_MISMATCH scenario,True
ORD10018,TXN10018,AMOUNT_MISMATCH,Injected AMOUNT_MISMATCH scenario,True
ORD10021,TXN10021,MISSING_PAYMENT,Settlement/invoice exist but no payment transaction was ingested,True
ORD10023,TXN10023B,POSSIBLE_DUPLICATE,Same order/customer/amount as another transaction within 1 day,True
ORD10030,TXN10030,PARTIAL_SETTLEMENT,Injected PARTIAL_SETTLEMENT scenario,True
ORD10031,TXN10031,AMOUNT_MISMATCH,Injected AMOUNT_MISMATCH scenario,True
ORD10032,TXN10032,MISSING_SETTLEMENT,No settlement record exists for this captured payment,True
ORD10036,TXN10036,UNEXPECTED_FEE,Injected UNEXPECTED_FEE scenario,True
ORD10038,TXN10038,DUPLICATE_TRANSACTION,Exact duplicate payment row ingested twice,True
ORD10041,TXN10041,AMOUNT_MISMATCH,Injected AMOUNT_MISMATCH scenario,True
ORD10043,TXN10043,AMOUNT_MISMATCH,Injected AMOUNT_MISMATCH scenario,True
ORD10047,TXN10047,MISSING_SETTLEMENT,No settlement record exists for this captured payment,True
ORD10051,TXN10051,MISSING_INVOICE,No invoice record exists for this order,True
ORD10056,TXN10056,MISSING_SETTLEMENT,No settlement record exists for this captured payment,True
ORD10057,TXN10057,AMOUNT_MISMATCH,Injected AMOUNT_MISMATCH scenario,True
ORD10060,TXN10060,AMOUNT_MISMATCH,Injected AMOUNT_MISMATCH scenario,True
ORD10062,TXN10062,MISSING_PAYMENT,Settlement/invoice exist but no payment transaction was ingested,True
ORD10068,TXN10068,PARTIAL_SETTLEMENT,Injected PARTIAL_SETTLEMENT scenario,True
ORD10078,TXN10078,UNEXPECTED_FEE,Injected UNEXPECTED_FEE scenario,True
ORD10079,TXN10079,MISSING_INVOICE,No invoice record exists for this order,True
ORD10084,TXN10084,DATE_MISMATCH,Injected DATE_MISMATCH scenario,True
ORD10086,TXN10086,INVALID_REFERENCE,Injected INVALID_REFERENCE scenario,True
ORD10088,TXN10088,CURRENCY_MISMATCH,Injected CURRENCY_MISMATCH scenario,True
ORD10090,TXN10090,AMOUNT_MISMATCH,Injected AMOUNT_MISMATCH scenario,True
ORD10093,TXN10093,UNEXPECTED_FEE,Injected UNEXPECTED_FEE scenario,True
ORD10095,TXN10095B,POSSIBLE_DUPLICATE,Same order/customer/amount as another transaction within 1 day,True
ORD10099,TXN10099,MISSING_SETTLEMENT,No settlement record exists for this captured payment,True
ORD10101,TXN10101,INVALID_REFERENCE,Injected INVALID_REFERENCE scenario,True
ORD10102,TXN10102,MISSING_INVOICE,No invoice record exists for this order,True
ORD10104,TXN10104,AMOUNT_MISMATCH,Injected AMOUNT_MISMATCH scenario,True
ORD10105,TXN10105,INVALID_REFERENCE,Injected INVALID_REFERENCE scenario,True
ORD10107,TXN10107,MISSING_SETTLEMENT,No settlement record exists for this captured payment,True
