invoice_id,order_id,expected_amount,invoice_date,customer_id,invoice_status
INV10001,ORD10001,71095.12,2026-06-24,CUST1001,issued
INV10002,  ORD10002  ,"68,236.83",2026-06-12,CUST1002,issued
INV10003,ORD10003,43957.05,2026-06-03,CUST1003,issued
INV10004,ORD10004,40597.37,2026-07-05,CUST1004,issued
INV10005,  ORD10005  ,7397.55 INR,16/07/2026,CUST1005,issued
INV10006,ORD10006,6230.94,2026-06-20,CUST1006,issued
INV10007,ORD10007,38443.77,2026-06-11,CUST1007,issued
INV10008,ORD10008,57366.36,2026-07-06,CUST1008,issued
INV10009,ORD10009,59787.21,2026-06-03,CUST1009,issued
INV10010,ORD10010,4644.14,2026-07-13,CUST1010,issued
INV10011,ORD10011,1789.96,2026-06-29,CUST1011,issued
INV10012,ORD10012,55403.42,2026-06-25,CUST1012,issued
INV10013,ORD10013,20910.15,2026-06-08,CUST1013,issued
INV10014,  ORD10014  ,"₹71,834.07",10-Jun-2026,CUST1014,issued
INV10015,ORD10015,27757.09,2026-07-05,CUST1015,issued
INV10016,ORD10016,29489.18,2026-06-26,CUST1016,issued
INV10017,ORD10017,73851.60,2026-06-29,CUST1017,issued
INV10018,ORD10018,11429.74,2026-06-07,CUST1018,issued
INV10019,ORD10019,71664.55,2026-07-08,CUST1019,issued
INV10020,  ORD10020  ,"23,457.74",2026-06-08,CUST1020,issued
INV10021,ORD10021,22426.92,2026-07-10,CUST1021,issued
INV10022,ORD10022,68128.56,2026-06-23,CUST1022,issued
INV10023,ORD10023,60882.19,2026-07-19,CUST1023,issued
INV10024,ord10024,37009.36 INR,17/07/2026,CUST1024,issued
INV10025,ORD10025,17090.75,2026-06-11,CUST1025,issued
INV10026,ORD10026,59993.32,2026-06-06,CUST1026,issued
INV10027,ORD10027,66686.92,2026-06-27,CUST1027,issued
INV10028,ORD10028,54387.42,2026-06-11,CUST1028,issued
INV10029,ORD10029,62005.63,2026-07-01,CUST1029,issued
INV10030,ORD10030,39540.92,2026-07-30,CUST1030,issued
INV10031,ORD10031,16037.21,2026-07-03,CUST1031,issued
INV10032,ORD10032,68260.28,2026-06-23,CUST1032,issued
INV10033,ord10033,"₹11,472.55",02-Jul-2026,CUST1033,issued
INV10034,ORD10034,66253.76,2026-06-03,CUST1034,issued
INV10035,ORD10035,2187.15,2026-07-27,CUST1035,issued
INV10036,ORD10036,38160.90,2026-07-22,CUST1036,issued
INV10037,ORD10037,10371.37,2026-06-08,CUST1037,issued
INV10038,ORD10038,50243.46,2026-07-20,CUST1038,issued
INV10039,ORD10039,72569.10,2026-06-13,CUST1039,issued
INV10040,ORD10040,12193.81,2026-06-27,CUST1040,issued
INV10041,  ORD10041  ,"7,005.33",2026-06-24,CUST1041,issued
INV10042,ORD10042,20466.84,2026-07-26,CUST1042,issued
INV10043,ORD10043,30505.49,2026-07-03,CUST1043,issued
INV10044,ORD10044,31956.25,2026-06-05,CUST1044,issued
INV10045,ORD10045,64231.52,2026-06-03,CUST1045,issued
INV10046,ORD10046,69507.53,2026-06-18,CUST1046,issued
INV10047,ORD10047,3873.44,2026-06-12,CUST1047,issued
INV10048,ORD10048,50444.57,2026-06-18,CUST1048,issued
INV10049,ORD10049,55007.72,2026-07-06,CUST1049,issued
INV10050,ORD10050,49272.56,2026-07-05,CUST1050,issued
INV10052,ORD10052,73642.96,2026-07-24,CUST1052,issued
INV10053,ORD10053,6427.92,2026-07-24,CUST1053,issued
INV10054,ORD10054,3488.29,2026-06-11,CUST1054,issued
INV10055,ORD10055,24332.69,2026-06-03,CUST1055,issued
INV10056,ORD10056,28683.83,2026-07-01,CUST1056,issued
INV10057,ORD10057,19886.23,2026-06-04,CUST1057,issued
INV10058,ORD10058,6427.76,2026-07-02,CUST1058,issued
INV10059,ORD10059,11294.79,2026-07-15,CUST1059,issued
