transaction_id,order_id,customer_id,amount,currency,transaction_date,payment_method,status
TXN10001,ORD10001,CUST1001,71095.12,INR,2026-06-26,card,captured
  TXN10002  ,  ORD10002  ,CUST1002,"₹68,236.83",INR,14/06/2026,card,captured
TXN10003,ORD10003,CUST1003,43957.05,USD,2026-06-04,upi,captured
TXN10004,ORD10004,CUST1004,40597.37,INR,2026-07-07,upi,captured
TXN10004B,ORD10004,CUST1004,40597.37,INR,2026-07-08,upi,captured
  TXN10005  ,  ORD10005  ,CUST1005,"7,397.55",INR,16-Jul-2026,wallet,captured
TXN10006,ORD10006,CUST1006,6230.94,INR,2026-06-20,wallet,captured
TXN10007,ORD10007,CUST1007,38443.77,INR,2026-06-11,wallet,captured
TXN10008,ORD10008,CUST1008,57366.36,INR,2026-07-07,netbanking,captured
TXN10008B,ORD10008,CUST1008,57366.36,INR,2026-07-08,wallet,captured
TXN10009,ORD10009,CUST1009,59787.21,USD,2026-06-05,wallet,captured
TXN10010,ORD10010,CUST1010,4644.14,INR,2026-07-15,wallet,captured
TXN10011,ORD10011,CUST1011,1789.96,INR,2026-06-30,wallet,captured
TXN10012,ORD10012,CUST1012,55403.42,INR,2026-06-26,card,captured
TXN10013,ORD10013,CUST1013,20910.15,USD,2026-06-09,,captured
  TXN10014  ,  ORD10014  ,CUST1014,"71,834.07",INR,2026-06-10,wallet,captured
TXN10015,ORD10015,CUST1015,27757.09,USD,2026-07-07,card,captured
TXN10016,ORD10016,CUST1016,29489.18,USD,2026-06-26,,captured
TXN10017,ORD10017,CUST1017,73851.60,INR,2026-06-29,card,captured
TXN10018,ORD10018,CUST1018,11429.74,USD,2026-06-07,card,captured
TXN10019,ORD10019,CUST1019,71664.55,INR,2026-07-09,wallet,captured
  TXN10020  ,  ORD10020  ,CUST1020,23457.74 INR,INR,10-Jun-2026,upi,captured
TXN10022,ORD10022,CUST1022,68128.56,INR,2026-06-23,netbanking,captured
TXN10023,ORD10023,CUST1023,60882.19,USD,2026-07-19,wallet,captured
TXN10023B,ORD10023,CUST1023,60882.19,USD,2026-07-20,upi,captured
txn10024,ord10024,CUST1024,37009.36 INR,USD,17-Jul-2026,netbanking,captured
TXN10025,ORD10025,CUST1025,17090.75,INR,2026-06-13,card,captured
TXN10026,ORD10026,CUST1026,59993.32,INR,2026-06-06,wallet,captured
TXN10027,ORD10027,CUST1027,66686.92,INR,2026-06-28,wallet,captured
TXN10028,ORD10028,CUST1028,54387.42,INR,2026-06-11,wallet,captured
