order_id,transaction_id,scenario,is_dirty_formatting
ORD10001,TXN10001,CLEAN,False
ORD10002,TXN10002,CLEAN,True
ORD10003,TXN10003,CLEAN,False
ORD10004,TXN10004,POSSIBLE_DUPLICATE,False
ORD10005,TXN10005,CLEAN,True
ORD10006,TXN10006,DATE_MISMATCH,False
ORD10007,TXN10007,CLEAN,False
ORD10008,TXN10008,POSSIBLE_DUPLICATE,False
ORD10009,TXN10009,UNEXPECTED_FEE,False
ORD10010,TXN10010,AMOUNT_MISMATCH,False
ORD10011,TXN10011,AMOUNT_MISMATCH,False
ORD10012,TXN10012,DATE_MISMATCH,False
ORD10013,TXN10013,DATE_MISMATCH,False
ORD10014,TXN10014,CLEAN,True
ORD10015,TXN10015,CLEAN,False
ORD10016,TXN10016,CLEAN,False
ORD10017,TXN10017,CLEAN,False
ORD10018,TXN10018,AMOUNT_MISMATCH,False
ORD10019,TXN10019,CLEAN,False
ORD10020,TXN10020,CLEAN,True
ORD10021,TXN10021,MISSING_PAYMENT,False
ORD10022,TXN10022,CLEAN,False
ORD10023,TXN10023,POSSIBLE_DUPLICATE,False
ORD10024,TXN10024,CLEAN,True
ORD10025,TXN10025,CLEAN,False
ORD10026,TXN10026,CLEAN,False
ORD10027,TXN10027,CLEAN,False
ORD10028,TXN10028,CLEAN,False
ORD10029,TXN10029,CLEAN,False
ORD10030,TXN10030,PARTIAL_SETTLEMENT,False
ORD10031,TXN10031,AMOUNT_MISMATCH,False
ORD10032,TXN10032,MISSING_SETTLEMENT,False
ORD10033,TXN10033,CLEAN,True
ORD10034,TXN10034,CLEAN,False
ORD10035,TXN10035,CLEAN,False
ORD10036,TXN10036,UNEXPECTED_FEE,False
ORD10037,TXN10037,CLEAN,False
ORD10038,TXN10038,DUPLICATE_TRANSACTION,False
ORD10039,TXN10039,CLEAN,False
ORD10040,TXN10040,CLEAN,False
ORD10041,TXN10041,AMOUNT_MISMATCH,True
ORD10042,TXN10042,CLEAN,False
ORD10043,TXN10043,AMOUNT_MISMATCH,False
ORD10044,TXN10044,CLEAN,False
