settlement_id,transaction_id,settled_amount,settlement_date,fee,currency,bank_reference,settlement_status
STL10001,TXN10001,69673.22,2026-06-28,1421.90,INR,BANKREF20001,settled
STL10002,  TXN10002  ,66872.09,2026-06-17,"₹1,364.74",INR,BANKREF20002,settled
STL10003,TXN10003,43077.91,2026-06-06,879.14,USD,BANKREF20003,settled
STL10004,TXN10004,39785.42,2026-07-08,811.95,INR,BANKREF20004,settled
STL10005,  TXN10005  ,7249.60,18-Jul-2026,147.95 INR,INR,BANKREF20005,settled
STL10006,TXN10006,6106.32,2026-07-11,124.62,INR,BANKREF20006,settled
STL10007,TXN10007,37674.89,2026-06-13,768.88,INR,BANKREF20007,settled
STL10008,TXN10008,56219.03,2026-07-10,1147.33,INR,BANKREF20008,settled
STL10009,TXN10009,54406.36,2026-06-08,5380.85,USD,BANKREF20009,settled
STL10010,TXN10010,4178.78,2026-07-17,92.88,INR,BANKREF20010,settled
STL10011,TXN10011,1605.97,2026-07-01,35.80,INR,BANKREF20011,settled
STL10012,TXN10012,54295.35,2026-07-15,1108.07,INR,BANKREF20012,settled
STL10013,TXN10013,20491.95,2026-06-27,418.20,USD,BANKREF20013,settled
STL10014,  TXN10014  ,"70,397.39",06-13-2026,1436.68 INR,INR,BANKREF20014,settled
STL10015,TXN10015,27201.95,2026-02-30,555.14,USD,BANKREF20015,settled
STL10016,TXN10016,28899.40,2026-06-27,589.78,USD,BANKREF20016,settled
STL10017,TXN10017,72374.57,2026-06-30,1477.03,INR,BANKREF20017,settled
STL10018,TXN10018,10874.82,2026-06-08,228.59,USD,BANKREF20018,settled
STL10019,TXN10019,70231.26,2026-07-11,1433.29,INR,BANKREF20019,settled
STL10020,  TXN10020  ,"₹22,988.59",13/06/2026,469.15 INR,INR,BANKREF20020,settled
STL10021,TXN10021,21978.38,2026-07-14,448.54,USD,BANKREF20021,settled
STL10022,TXN10022,66765.99,2026-06-26,1362.57,INR,BANKREF20022,settled
STL10023,TXN10023,59664.55,2026-07-22,1217.64,USD,BANKREF20023,settled
STL10024,txn10024,36269.17 INR,18-Jul-2026,740.19 INR,USD,BANKREF20024,settled
STL10025,TXN10025,16748.93,2026-06-15,341.82,INR,BANKREF20025,settled
STL10026,TXN10026,58793.45,2026-06-09,1199.87,INR,BANKREF20026,settled
STL10027,TXN10027,65353.18,2026-06-30,1333.74,INR,BANKREF20027,settled
STL10028,TXN10028,53299.67,2026-06-14,1087.75,INR,BANKREF20028,settled
STL10029,TXN10029,60765.52,2026-07-02,1240.11,USD,BANKREF20029,settled
STL10030,TXN10030,19770.46,2026-07-31,790.82,INR,BANKREF20030,partial
STL10031,TXN10031,15477.91,2026-07-06,320.74,INR,BANKREF20031,settled
STL10033,txn10033,"11,243.10",04-Jul-2026,₹229.45,USD,BANKREF20033,settled
STL10034,TXN10034,64928.68,2026-06-07,1325.08,INR,BANKREF20034,settled
STL10035,TXN10035,2143.41,2026-07-31,43.74,USD,BANKREF20035,settled
STL10036,TXN10036,34726.42,2026-07-25,3434.48,INR,BANKREF20036,settled
STL10037,TXN10037,10163.94,2026-06-10,207.43,INR,BANKREF20037,settled
STL10038,TXN10038,49238.59,2026-07-22,1004.87,INR,BANKREF20038,settled
STL10039,TXN10039,71117.72,2026-06-16,1451.38,INR,BANKREF20039,settled
STL10040,TXN10040,11949.93,2026-06-29,243.88,INR,BANKREF20040,settled
STL10041,  TXN10041  ,6582.37 INR,2026-06-26,₹140.11,INR,BANKREF20041,settled
STL10042,TXN10042,20057.50,2026-07-30,409.34,INR,BANKREF20042,settled
STL10043,TXN10043,29719.80,2026-07-06,610.11,INR,BANKREF20043,settled
STL10044,TXN10044,31317.12,2026-06-07,639.13,INR,BANKREF20044,settled
STL10045,TXN10045,62946.89,2026-06-07,1284.63,USD,BANKREF20045,settled
STL10046,TXN10046,68117.38,2026-06-19,1390.15,INR,BANKREF20046,settled
STL10048,TXN10048,49435.68,2026-06-19,1008.89,USD,BANKREF20048,settled
STL10049,TXN10049,53907.57,2026-07-08,1100.15,INR,BANKREF20049,settled
STL10050,TXN10050,48287.11,2026-07-08,985.45,INR,BANKREF20050,settled
STL10051,TXN10051,25253.21,2026-07-26,515.37,INR,BANKREF20051,settled
STL10052,TXN10052,72170.10,2026-07-26,1472.86,INR,BANKREF20052,settled
STL10053,TXN10053,6299.36,2026-07-27,128.56,INR,BANKREF20053,settled
STL10054,TXN10054,3418.52,2026-06-14,69.77,INR,BANKREF20054,settled
STL10055,TXN10055,23846.04,2026-06-04,486.65,USD,BANKREF20055,settled
STL10057,TXN10057,19303.67,2026-06-07,397.72,INR,BANKREF20057,settled
STL10058,TXN10058,6299.20,2026-07-06,128.56,INR,BANKREF20058,settled
STL10059,TXN10059,11068.89,2026-07-20,225.90,INR,BANKREF20059,settled
STL10060,TXN10060,10010.63,2026-07-07,210.68,USD,BANKREF20060,settled
STL10061,TXN10061,6343.90,2026-06-05,129.47,INR,BANKREF20061,settled
STL10062,TXN10062,3825.38,2026-06-04,78.07,USD,BANKREF20062,settled
STL10063,TXN10063,33638.93,2026-06-08,686.51,INR,BANKREF20063,settled
STL10064,TXN10064,54835.92,2026-07-02,1119.10,INR,BANKREF20064,settled
STL10065,TXN10065,17034.50,2026-07-13,347.64,INR,BANKREF20065,settled
STL10066,TXN10066,56395.14,2026-07-12,1150.92,INR,BANKREF20066,settled
STL10067,TxN10067,45691.71,06-12-2026,932.48 INR,INR,BANKREF20067,settled
STL10068,TXN10068,37249.10,2026-07-07,1489.96,INR,BANKREF20068,partial
STL10069,TXN10069,5710.63,2026-07-05,116.54,INR,BANKREF20069,settled
STL10070,TXN10070,5574.73,2026-06-07,113.77,INR,BANKREF20070,settled
STL10071,TXN10071,20618.85,2026-06-10,420.79,USD,BANKREF20071,settled
STL10072,TXN10072,361.55,2026-07-04,7.38,INR,BANKREF20072,settled
STL10073,TXN10073,23298.76,2026-07-26,475.49,INR,BANKREF20073,settled
STL10074,TXN10074,52435.36,2026-07-30,1070.11,INR,BANKREF20074,settled
STL10075,TXN10075,5705.96,2026-08-01,116.45,USD,BANKREF20075,settled
STL10076,TXN10076,61364.89,2026-06-21,1252.34,INR,BANKREF20076,settled
STL10077,TXN10077,14033.30,2026-06-27,286.39,INR,BANKREF20077,settled
STL10078,txn10078,37525.84 INR,20-Jul-2026,"₹3,711.35",USD,BANKREF20078,settled
STL10079,TXN10079,25323.54,2026-06-22,516.81,INR,BANKREF20079,settled
STL10080,TXN10080,22179.99,2026-07-07,452.65,INR,BANKREF20080,settled
STL10081,TXN10081,66597.27,2026-07-04,1359.13,USD,BANKREF20081,settled
STL10082,TxN10082,40306.54 INR,18/06/2026,₹822.58,INR,BANKREF20082,settled
STL10083,TXN10083,15512.78,2026-06-21,316.59,USD,BANKREF20083,settled
STL10084,TXN10084,50507.05,2026-07-20,1030.76,INR,BANKREF20084,settled
STL10085,TXN10085,29440.97,2026-06-30,600.84,INR,BANKREF20085,settled
STL10086,REF_C77TQQ,52177.58,2026-07-29,1064.85,INR,BANKREF20086,settled
STL10087,TXN10087,11429.68,2026-07-05,233.26,INR,BANKREF20087,settled
STL10088,TXN10088,198.27,2026-06-10,4.05,USD,BANKREF20088,settled
STL10089,TXN10089,38872.84,2026-06-30,793.32,INR,BANKREF20089,settled
STL10090,TXN10090,13983.61,2026-06-20,289.17,USD,BANKREF20090,settled
STL10091,TXN10091,70486.11,2026-07-15,1438.49,INR,BANKREF20091,settled
STL10092,TXN10092,70609.01,2026-07-18,1441.00,INR,BANKREF20092,settled
STL10093,TXN10093,5618.16,2026-06-17,555.64,INR,BANKREF20093,settled
STL10094,TXN10094,52825.02,2026-06-27,1078.06,INR,BANKREF20094,settled
STL10095,TXN10095,15161.45,2026-06-15,309.42,INR,BANKREF20095,settled
STL10096,TXN10096,8099.41,2026-07-12,165.29,INR,BANKREF20096,settled
STL10097,TXN10097,69738.98,2026-06-13,1423.24,INR,BANKREF20097,settled
STL10098,TXN10098,3903.20,2026-06-07,79.66,INR,BANKREF20098,settled
STL10100,TXN10100,61691.60,2026-06-24,1259.01,INR,BANKREF20100,settled
STL10101,REF_M33PBR,30940.29,2026-07-29,631.43,INR,BANKREF20101,settled
STL10102,TXN10102,67591.61,2026-06-14,1379.42,USD,BANKREF20102,settled
STL10103,TXN10103,18302.66,2026-07-13,373.52,INR,BANKREF20103,settled
STL10104,  TXN10104  ,18893.87 INR,07-21-2026,387.01 INR,INR,BANKREF20104,settled
STL10105,REF_63ERA7,60729.39,2026-06-09,1239.38,INR,BANKREF20105,settled
STL10106,TXN10106,44671.67,2026-06-24,911.67,INR,BANKREF20106,settled
STL10108,TXN10108,6067.93,2026-07-01,242.72,INR,BANKREF20108,partial
STL10109,TXN10109,3661.03,2026-07-03,146.44,INR,BANKREF20109,partial
STL10110,TXN10110,33930.73,2026-07-30,692.46,INR,BANKREF20110,settled
STL10111,TXN10111,20606.29,2026-06-20,420.54,INR,BANKREF20111,settled
STL10112,TXN10112,13731.43,2026-06-29,280.23,INR,BANKREF20112,settled
STL10114,TXN10114,7609.41,2026-07-03,155.29,INR,BANKREF20114,settled
STL10115,TXN10115,8771.83,2026-06-05,350.87,INR,BANKREF20115,partial
STL10116,TXN10116,63673.48,2026-06-30,1299.46,USD,BANKREF20116,settled
STL10117,TXN10117,52191.85,2026-06-24,1065.14,USD,BANKREF20117,settled
STL10118,TXN10118,2904.60,2026-07-19,59.28,INR,BANKREF20118,settled
STL10119,  TXN10119  ,"₹13,688.02",22-Jun-2026,279.35,INR,BANKREF20119,settled
STL10121,TXN10121,64962.97,2026-07-12,1325.78,USD,BANKREF20121,settled
STL10122,TXN10122,15047.58,2026-06-02,307.09,INR,BANKREF20122,settled
STL10123,TXN10123,64900.07,2026-07-03,1324.49,USD,BANKREF20123,settled
STL10124,TXN10124,6633.06,2026-07-11,135.37,INR,BANKREF20124,settled
STL10125,TXN10125,20892.42,2026-07-06,426.38,INR,BANKREF20125,settled
STL10126,txn10126,"9,394.39",01/08/2026,191.72,USD,BANKREF20126,settled
STL10127,TXN10127,16109.68,2026-06-27,328.77,USD,BANKREF20127,settled
STL10128,TXN10128,71348.75,2026-07-26,1456.10,INR,BANKREF20128,settled
STL10130,TXN10130,42863.82,2026-06-29,874.77,INR,BANKREF20130,settled
STL10131,TXN10131,45525.90,2026-07-03,929.10,INR,BANKREF20131,settled
STL10132,TXN10132,7957.60,2026-06-12,162.40,INR,BANKREF20132,settled
STL10133,TxN10133,"3,081.91",2026-06-12,₹62.90,INR,BANKREF20133,settled
STL10134,  TXN10134  ,"53,834.46",2026-07-26,1098.66 INR,USD,BANKREF20134,settled
STL10135,TXN10135,20283.01,2026-07-24,413.94,USD,BANKREF20135,settled
STL10136,TXN10136,45303.81,2026-06-18,924.57,INR,BANKREF20136,settled
STL10137,TXN10137,49987.87,2026-07-29,1020.16,INR,BANKREF20137,settled
STL10138,TXN10138,46805.06,2026-06-26,955.21,INR,BANKREF20138,settled
STL10139,TXN10139,27685.22,2026-06-26,1107.41,INR,BANKREF20139,partial
STL10140,REF_JX9VXL,32562.35,2026-06-15,664.54,INR,BANKREF20140,settled
STL10141,TXN10141,16366.64,2026-06-20,334.01,INR,BANKREF20141,settled
STL10142,TxN10142,16779.31 INR,15/07/2026,342.44,INR,BANKREF20142,settled
STL10143,TXN10143,26980.35,2026-07-27,550.62,INR,BANKREF20143,settled
STL10145,TXN10145,4218.10,2026-07-26,86.08,INR,BANKREF20145,settled
STL10146,  TXN10146  ,"18,338.18",2026-07-29,₹374.25,INR,BANKREF20146,settled
STL10147,TXN10147,30426.11,2026-07-07,620.94,INR,BANKREF20147,settled
STL10148,TXN10148,11636.38,2026-06-23,465.46,USD,BANKREF20148,partial
STL10149,TXN10149,27635.40,2026-06-29,563.99,INR,BANKREF20149,settled
STL10150,txn10150,19287.24,07-15-2026,393.62 INR,INR,BANKREF20150,settled
STL10151,TXN10151,19209.58,2026-06-19,392.03,INR,BANKREF20151,settled
STL10152,TXN10152,64703.85,2026-06-24,1320.49,INR,BANKREF20152,settled
STL10153,TXN10153,63041.88,2026-06-29,1286.57,INR,BANKREF20153,settled
STL10154,TXN10154,43062.56,2026-07-08,878.83,USD,BANKREF20154,settled
STL10155,TXN10155,68284.70,2026-06-24,1393.57,USD,BANKREF20155,settled
STL10156,txn10156,"₹50,938.08",12-Jul-2026,"₹1,039.55",INR,BANKREF20156,settled
STL10157,TXN10157,2583.44,2026-08-03,52.72,INR,BANKREF20157,settled
STL10159,TXN10159,19267.64,2026-06-25,393.22,INR,BANKREF20159,settled
STL10160,TXN10160,35043.43,2026-06-20,715.17,USD,BANKREF20160,settled
STL10161,TXN10161,56839.65,2026-06-26,1159.99,USD,BANKREF20161,settled
STL10162,TXN10162,60273.78,2026-06-12,1230.08,USD,BANKREF20162,settled
STL10163,TXN10163,36125.39,2026-07-05,737.25,INR,BANKREF20163,settled
STL10164,TXN10164,64424.22,2026-06-21,6371.63,USD,BANKREF20164,settled
STL10165,txn10165,69001.29,21-Jul-2026,"₹1,408.19",INR,BANKREF20165,settled
STL10166,TXN10166,15227.39,2026-06-19,310.76,INR,BANKREF20166,settled
STL10167,TXN10167,69383.62,2026-06-11,1415.99,INR,BANKREF20167,settled
STL10168,TXN10168,24075.51,2026-06-11,491.34,USD,BANKREF20168,settled
STL10169,TXN10169,50676.49,2026-06-20,1034.21,INR,BANKREF20169,settled
STL10170,TXN10170,37364.45,2026-06-21,762.54,INR,BANKREF20170,settled
STL10171,TXN10171,71647.87,2026-07-18,1462.20,INR,BANKREF20171,settled
STL10172,TXN10172,19086.23,2026-07-18,389.51,INR,BANKREF20172,settled
STL10173,TXN10173,72313.30,2026-07-22,1475.78,INR,BANKREF20173,settled
STL10174,TXN10174,20709.60,2026-07-29,422.65,INR,BANKREF20174,settled
STL10175,TXN10175,36834.71,2026-07-14,751.73,INR,BANKREF20175,settled
STL10176,TXN10176,503.00,2026-06-17,10.27,INR,BANKREF20176,settled
STL10177,TXN10177,62669.09,2026-07-16,1278.96,USD,BANKREF20177,settled
STL10178,TXN10178,65774.01,2026-06-19,1342.33,INR,BANKREF20178,settled
STL10180,TXN10180,65755.68,2026-06-22,1341.95,INR,BANKREF20180,settled
STL10181,REF_M4QHRA,39981.71,2026-06-14,815.95,INR,BANKREF20181,settled
STL10182,TXN10182,25264.01,2026-07-20,515.59,USD,BANKREF20182,settled
STL10183,TXN10183,53615.88,2026-07-12,1094.20,INR,BANKREF20183,settled
STL10185,REF_QF7C2G,16571.41,2026-07-20,338.19,INR,BANKREF20185,settled
STL10186,TXN10186,52999.17,2026-07-25,1081.62,USD,BANKREF20186,settled
STL10187,TXN10187,47780.49,2026-07-22,975.11,USD,BANKREF20187,settled
STL10188,TXN10188,50558.32,2026-06-30,1031.80,INR,BANKREF20188,settled
STL10190,TXN10190,4286.53,2026-07-26,87.48,INR,BANKREF20190,settled
STL10191,TXN10191,1197.99,2026-06-03,24.45,USD,BANKREF20191,settled
STL10192,TXN10192,42560.11,2026-07-26,868.57,INR,BANKREF20192,settled
STL10193,TXN10193,58208.48,2026-06-12,1187.93,INR,BANKREF20193,settled
STL10194,TXN10194,57944.20,2026-07-27,1182.53,USD,BANKREF20194,settled
STL10195,TXN10195,49367.52,2026-06-09,1007.50,INR,BANKREF20195,settled
STL10196,TXN10196,40997.82,2026-07-02,836.69,INR,BANKREF20196,settled
STL10197,TXN10197,39701.51,2026-07-28,810.24,INR,BANKREF20197,settled
STL10198,TXN10198,36623.32,2026-06-22,747.41,USD,BANKREF20198,settled
STL10199,TXN10199,46858.07,2026-07-14,956.29,INR,BANKREF20199,settled
STL10200,TXN10200,59450.83,2026-06-08,1213.28,INR,BANKREF20200,settled
STL10202,TXN10202,40764.74,2026-07-25,831.93,INR,BANKREF20202,settled
STL10203,TXN10203,36911.54,2026-07-27,1476.46,USD,BANKREF20203,partial
STL10204,TXN10204,11925.17,2026-06-21,477.01,INR,BANKREF20204,partial
STL10205,TXN10205,65102.91,2026-07-06,1328.63,USD,BANKREF20205,settled
STL10208,TxN10208,48809.01 INR,07-28-2026,996.10,INR,BANKREF20208,settled
STL10209,TXN10209,31710.41,2026-07-15,647.15,USD,BANKREF20209,settled
